Chlor;Temperature;Time_month;Length_mm;;;-0.03;;;;;
0.77;28.04;0;35.07;;;1.05;;;;;
10.59;29.42;2.22;47.42;;;1.94;;;;;
3.81;29.63;3.3;44.39;;;2.9;;;;;
1.82;30.06;4.38;55.34;;;3.89;;;;;
0.62;28.48;4.38;55.34;;;4.97;;;;;0
0.59;26.79;5.44;65.83;;;5.93;;;;;
0.32;25.18;6.46;63.73;;;6.91;;;;;
0.11;23.98;7.67;65.13;;;7.97;;;;;
0.76;23.91;8.93;73.98;;;8.99;;;;;
0.35;24.83;9.91;85.63;;;9.9;;;;;
0.17;26.62;10.75;84;;;11.06;;;;;
0.2;26.01;11.83;97.75;;;12;;;;;
0.52;26.27;12.87;95.65;;;12.92;;;;;
0.52;26.76;;;;;;;;;;
0.69;;;;;;;;;;;
0.31;;;;;;;;;;;
1.07;;;;;;;;;;;
0.78;;;;;;;;;;;
3.51;;;;;;;;;;;
0.37;;;;;;;;;;;
0.83;;;;;;;;;;;
0.57;;;;;;;;;;;
2.77;;;;;;;;;;;
4.38;;;;;;;;;;;
8.31;;;;;;;;;;;
5.35;;;;;;;;;;;
8.78;;;;;;;;;;;
6.72;;;;;;;;;;;
7.92;;;;;;;;;;;
7.28;;;;;;;;;;;
6.45;;;;;;;;;;;
5.81;;;;;;;;;;;
3.9;;;;;;;;;;;
3.67;;;;;;;;;;;
3.17;;;;;;;;;;;
4.92;;;;;;;;;;;
8.85;;;;;;;;;;;
6.8;;;;;;;;;;;
1.11;;;;;;;;;;;
1.11;;;;;;;;;;;
0.17;;;;;;;;;;;
1.4;;;;;;;;;;;
0.52;;;;;;;;;;;
2.13;;;;;;;;;;;
6.14;;;;;;;;;;;
6.99;;;;;;;;;;;
1.39;;;;;;;;;;;
2.86;;;;;;;;;;;
2.77;;;;;;;;;;;
1.8;;;;;;;;;;;
1.71;;;;;;;;;;;
1.62;;;;;;;;;;;
0.95;;;;;;;;;;;
0.83;;;;;;;;;;;
